title,artist,added
Dela Move,Chronixx,Sheynanigans
SCIENTISTS & ENGINEERS (Explicit),"Killer Mike, André 3000, Future, Eryn Allen Kane",ontravelling
Feds Watching (Explicit),"2 Chainz, Pharrell Williams",Sheynanigans
I Can't Stop,Flux Pavilion,Jordan Hurst
555-5555,Lorn,CreepyUnknown
UK Ting,"TroyBoi, Hamdi, P Money",Sheynanigans
The Secret Recipe (Explicit),"Lil Yachty, J. Cole",AnnieKate
12 Days of Christmas (Explicit),Gucci Mane,CIAO
Money Trees (Explicit),"Kendrick Lamar, Jay Rock",Jordan Hurst
Dick (feat. Doja Cat) (DJ Jayhood [Jersey Club Mix]) (Explicit),"StarBoi3, Doja Cat",coffeecurls84
Trophies (Explicit),"Young Money, Drake",Jordan Hurst
Pose (Salva Remix) (Explicit),Rihanna,Marcus McBride
Change Gonna Come (feat. Asher Roth & Charles Hamilton) [prod. Fury] (Explicit),B.o.B,Jordan Hurst
Peaches & Eggplants (feat. Latto & Sexyy Red) (Explicit),"Young Nudy, Sexyy Red, Latto",ontravelling
Nuttin' For Christmas,"Art Mooney, Barry Gordon",Dr Fiddleballs
Turn Up Ye Merry Gentlemen,"Tchami, Malaa",johnnyrandomwalker
Presha (Explicit),"2 Chainz, Lil Wayne",Sheynanigans
Relax and Take Notes (feat. Notorious B.I.G. and Project Pat) (Explicit),"8Ball & MJG, The Notorious B.I.G., Project Pat",Jordan Hurst
Got It All (feat. Rich Boy) (Explicit),Logan Garrett,Adamino
Protocol,"El Michels Affair, Black Thought, Son Little",AnnieKate
Santa Claus Goes Straight To The Ghetto (Explicit),Snoop Dogg,Ann Redg8
Hold The Line (feat. grandson),"Tom Morello, Grandson",Jordan Hurst
SHED TEARS (Explicit),"Killer Mike, Mozzy, Lena Byrd Miles",ontravelling
Bounce Back (Explicit),Big Sean,Jordan Hurst
Clique (Explicit),"Kanye West, JAY-Z, Big Sean",CIAO
Backin' It Up (feat. Cardi B) (Explicit),"Pardison Fontaine, Cardi B",CIAO
Beep Beep (Explicit),"Nicki Minaj, 50 Cent",AnnieKate
Hold You (feat. Kyle Young & 90Sum),Datsunn & xar & Mvtrix,xenoshepard
H.O.E. (Heaven On Earth) (Explicit),Yo Gotti,Eternity2Eternity
I Am the Grinch (feat. Fletcher Jones),"Tyler, The Creator, Fletcher Jones",Ann Redg8
Ambitionz Az A Ridah (Explicit),2Pac,Slattery
Powerglide (From SR3MM) (Explicit),"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",AnnieKate
Reintroduction (Explicit),AZ,Dr Fiddleballs
HEROES (feat. DJ Premier),"Macklemore, DJ Premier",Slattery
The Little Drum Machine Boy,Beck,johnnyrandomwalker
Hot Damn,"Blimes, Method Man",Ann Redg8
Sweet Love,Anita Baker,CIAO
Deck The Halls (Trap Remix) (Bass Boosted),"Bass Boosted HD, DJ Remix, Christmas Songs Remix",xenoshepard
Keep Their Heads Ringin’ (Explicit),Dr. Dre,Eternity2Eternity
Da Joint (Explicit),EPMD,Slattery
Linus And Lucy,"Béla Fleck, The Flecktones",johnnyrandomwalker
p r i d e . i s . t h e . d e v i l (Explicit),"J. Cole, Lil Baby",AnnieKate
Calm Down (Explicit),"Busta Rhymes, Eminem",Jordan Hurst
6 'n the Mornin' (Explicit),Ice-T,coffeecurls84
Sex for Christmas,Eric Bellinger,Ann Redg8
100 Grandkids (Explicit),Mac Miller,Slattery
Erbody But Me (Explicit),"Tech N9ne, Bizzy, Krizz Kaliko",Sheynanigans
Rudolph The Red Nose Reindeer (Recorded at Spotify Studios),DMX,Cali_Sober
Look Back at It (Explicit),A Boogie Wit da Hoodie,coffeecurls84
Desperado,Rihanna,coffeecurls84
Winter Wonderland [take 2],Booker T. & The MG's,JFLBridge
Wired To The T (Explicit),Dorrough Music,Adamino
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan) (Explicit),"Lil Dicky, Fetty Wap, Rich Homie Quan",Slattery
Red Nose (Explicit),Sage the Gemini,Ann Redg8
Reservoir Dogs (Explicit),"JAY Z, The LOX, Sauce Money, Beanie Sigel",AnnieKate
Fire,Dr. Fresch,Cali_Sober
Work Witcha (Explicit),Tay Money,Adamino
Da Rockwilder (Explicit),"Method Man, Redman",AnnieKate
Stop Being Greedy (Explicit),DMX,Cali_Sober
Say It Ain't So (feat. Sap) (Explicit),Chris Webby,Slattery
Call from the Bank (feat. Mgmt) (Explicit),Nipsey Hussle,Dr Fiddleballs
Dance with Me,112,Sheynanigans
Whip,Illya 2.0,Adamino
You Gots To Chill,EPMD,Slattery
Hip Hop Hooray,Naughty By Nature,Slattery
"Music Is My Hot, Hot Sex",CSS,Dr Fiddleballs
SHAKE (Explicit),Jeane Marie,coffeecurls84
"Grinch 2000 (From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack)","Busta Rhymes, Jim Carrey",Ann Redg8
Poison (Explicit),The Prodigy,Marcus McBride
Lovin On Me (Explicit),Jack Harlow,coffeecurls84
Breathe Deeper (Lil Yachty Remix) (Explicit),"Tame Impala, Lil Yachty",Jordan Hurst
Brand New (Explicit),"Tyga, YG, Lil Wayne",Sheynanigans
edamame (Explicit),"bbno$, Rich Brian",RateWonder
It's Getting Hot (Explicit),NLE Choppa,AnnieKate
"Bwoii Affi"" Watch Eh Style","1Biggs Don, Steel Chest",Sheynanigans
"Chill Bill REMIX (feat. D.R.A.M., Denzel Curry & Cousin Stizz) (Explicit)","Rob $tone, Shelley FKA DRAM, Denzel Curry, Cousin Stizz",Adamino
Need You Tonight,INXS,CIAO
Hypnotize U,N.E.R.D,Dr Fiddleballs
All Nite,"Dj Alias, Frankee More",Adamino
The Creator,"Pete Rock, C. L. Smooth",Ann Redg8
"In My House (12"" Version)",Mary Jane Girls,coffeecurls84
Grip (Explicit),Baby Tate,CIAO
Joy to the World (Flava Mix),Mariah Carey,johnnyrandomwalker
The Business,Tiësto,Cali_Sober
Party Up (Explicit),"Destructo, YG",Cali_Sober
Roses (Imanbek Remix) (Explicit),SAINt JHN,Eternity2Eternity
Notorious (Explicit),Malaa,Cali_Sober
Climate (feat. Offset) (Explicit),"BigXthaPlug, Offset",Dr Fiddleballs
Erotic City (Make Love Not War Erotic City Come Alive) [Extended Version] [2017 Remaster] (Explicit),"Prince, The Revolution",coffeecurls84
Girls,The Prodigy,Dr Fiddleballs
Pursuit Of Happiness (Extended Steve Aoki Remix) (Explicit),"Kid Cudi, MGMT, Ratatat",Jordan Hurst
Get It Shawty,Lloyd,CIAO
Hoes In This House (Explicit),The Pack,Eternity2Eternity
Breathe,The Prodigy,Jordan Hurst
Forgot About Dre (Explicit),"Dr. Dre, Eminem",Slattery
Sandstorm,Darude,JFLBridge
Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat) (Explicit),"Three 6 Mafia, UGK (Underground Kingz), Project Pat",ontravelling
Everybody (Explicit),"Nicki Minaj, Lil Uzi Vert",AnnieKate
Ick (Explicit),Lay Bankz,coffeecurls84
Money for Nothing,Dire Straits,CIAO
Meeting In The Ladies Room (Radio Edit),Klymaxx,coffeecurls84
Automatic,"Zhu, AlunaGeorge",Cali_Sober
Cut It (feat. Young Dolph) (Explicit),"O.T. Genasis, Young Dolph",CIAO
