title,artist,added
Punch Bowl (Explicit),"Pusha T, Clipse, Nigo",AnnieKate
I Do  (Explicit),Twista,Ktz
I Like Tuh (Explicit),"Carnage, ILOVEMAKONNEN",Eternity2Eternity
Problems (feat. Pusha T) (Triangle Park Mix) (Explicit),"Ray Vaughn, Pusha T",flaco_kream
Smiley Faces,Gnarls Barkley,Cynsaytional
Star Destroyer (Explicit),Eyedea & Abilities,coffeecurls84
Disconnect (Explicit),"Becky Hill, Chase & Status",Eternity2Eternity
Definition (Explicit),Black Star,Cynsaytional
Hypno (Explicit),"T.I., Rahky",Ktz
Headstone (Explicit),Flatbush Zombies,Slattery
Forget Me Nots (feat. Elucid),E L U C I D,CreepyUnknown
Bleu Snappin' (Explicit),Lil Wayne,Casey Pavelko
Grinding All My Life (Explicit),Nipsey Hussle,Cali_Sober
Hot Like Sauce,Pretty Lights,Ktz
Drive,Incubus,CookieCutter
I Wanna Rock (Explicit),"Snoop Dogg, JAY Z",AnnieKate
Hand in My Pocket (2015 Remaster),Alanis Morissette,CookieCutter
Shoot My Shot (Explicit),"IDK, Offset",AnnieKate
I Got To Have It,Ed O.G. & Da Bulldogs,Marcus McBride
YAK (Explicit),"Tokyo Jetz, Jackboy",Ktz
9th Wonder (Blackitolism),"Digable Planets, Jazzy Joyce",Marcus McBride
Orgasmic,WonkyWilla,Sheynanigans
Funky Crazy,Angelo Ferreri,RateWonder
Everybody Drunk (Album Version (Explicit)) (Explicit),"Ludacris, Lil Scrappy",AnnieKate
Dare You 2 Move (Explicit),"Destructo, Problem",Cali_Sober
Stepchild,Skratch Bastid & Nick Bike,Ann Redg8
ON FIRE,Joyryde,Eternity2Eternity
Blueberry Yum Yum (Explicit),"Ludacris, Sleepy Brown",Sheynanigans
Hands on the Wheel (feat. Asap Rocky),A$AP Rocky,CreepyUnknown
Combination Pizza Hut and Taco Bell Remix (Explicit),"Das Racist, Heems",johnnyrandomwalker
To Be Real,"Wuki, Lee Foss, Cheryl Lynn",Eternity2Eternity
Roxanne,The Police,CookieCutter
Sports,Viagra Boys,Marcus McBride
Beatbox the Block (Explicit),That Mexican OT,flaco_kream
Every You Every Me,Placebo,coffeecurls84
Darko,Booka Shade,johnnyrandomwalker
BRB (Explicit),Valentino Khan,Eternity2Eternity
Electrify Me,Zhu,Cali_Sober
Bloom (Lane 8 Remix),ODESZA,Cali_Sober
System (Explicit),"Aggz, Flirta D",Eternity2Eternity
All Night Alone (Chris Lake Edit),"Josement, Chris Lake",Eternity2Eternity
Eat Your Man (with Nelly Furtado),"Dom Dolla, Nelly Furtado",geogkid21
Million Cash,"Connor Price, Armani White",Ann Redg8
18 The Hard Way (Explicit),Kipp Stone,AnnieKate
Atlas Air,Massive Attack,johnnyrandomwalker
The Ghetto,Too $hort,johnnyrandomwalker
Not Like Us (Explicit),Kendrick Lamar,Dr Fiddleballs
Fly,Sugar Ray,CookieCutter
Embarrassed (f. Slug and Eyedea),Sage Francis,coffeecurls84
Understand Me (Explicit),Problem and IamSu,Ktz
I Made Love (4 Da Very 1st Time),Little Shawn,Marcus McBride
Faden Away (Explicit),7 Days Of Funk,Step
Real Big,Mannie Fresh,geogkid21
My Baby,Lil' Romeo,Ktz
Big Boss Rabbit (Explicit),Freddie Gibbs,AnnieKate
