title,artist,added
One Beer (Explicit),MF DOOM,Jamie Jackson
MONOPOLY,Ron Obasi,flaco_kream
Wiggle (feat. Snoop Dogg),"Jason Derulo, Snoop Dogg",Slattery
Jump Down (Explicit),"Travis Barker, The Cool Kids",Dr Fiddleballs
In One Ear (Explicit),Cage The Elephant,Ann Redg8
Saturday Mornings (feat. Lil Wayne) (Explicit),"Cordae, Lil Wayne",Slattery
Invocation (Album Version),Common,Step
Bam Bam,Sister Nancy,johnnyrandomwalker
Gangsta Gangsta (Slowed & Reverbed) (Explicit),"Baby Eazy-E, Dr. Fresch",Eternity2Eternity
Wake Up,Rage Against The Machine,johnnyrandomwalker
Get Fucked Up (Explicit),Stevie Stone,Step
places to be (Explicit),"Anderson .Paak, Fred again.., CHIKA",Ann Redg8
Not Nice (Explicit),Megan Thee Stallion,coffeecurls84
"Can We (feat. Missy ""Misdemeanor"" Elliott)","SWV, Missy Elliott",Ktz
Goat Talk (Explicit),"T-Pain, Lil Wayne",Ktz
The Time Is Now,"WWE, John Cena, Tha Trademarc",Jamie Jackson
Come Back In One Piece,"Aaliyah, DMX",Kimmyk
Freeek! '04 (Explicit),George Michael,Step
Get Free,"Major Lazer, Amber Coffman",Jamie Jackson
Fallin',"Teenage Fanclub, De La Soul",johnnyrandomwalker
Dreamin',"Common, Pete Rock",Dr Fiddleballs
HIT EM WHERE IT HURTS,PawPaw Rod,Dr Fiddleballs
I Told You So,Chino Xl,Step
More Than Words,Extreme,Kimmyk
Natural Born Killaz (Explicit),"Ice Cube, Dr. Dre",JFLBridge
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk) (Explicit)","Wu-Tang Clan, Method Man, Raekwon, Inspectah Deck, Buddha Monk",JFLBridge
Still D.R.E. (Explicit),"Dr. Dre, Snoop Dogg",JFLBridge
No Church In The Wild (Explicit),"JAY-Z, Kanye West, Frank Ocean, The-Dream",Ann Redg8
Oh My,Sweatshop Union,Ann Redg8
A Tear in Space (Airlock),Glass Animals,Ann Redg8
Don't Stop (Album Version (Explicit)) (Explicit),Innerpartysystem,Dr Fiddleballs
Devil Eyes,Hippie Sabotage,Eternity2Eternity
Lucky Ass Bitch (with Juicy J) (Explicit),"Mac Miller, Juicy J",Step
"Baby, I Love Your Way",Big Mountain,Kimmyk
Gettin' Some (Explicit),Shawnna,Kimmyk
Korrupt World (Explicit),Twista,Ktz
I Can Tell (Explicit),504 Boyz,Kimmyk
Fire (Explicit),Big Sean,Paul A.
Call Me,Go West,Step
Too Bizarre,"Skrillex, Swae Lee, Siiickbrain",geogkid21
Hot Boyz (Explicit),Missy Elliott,coffeecurls84
The Return Of Leonard Oates (Explicit),Rockwell Knuckles,Paul A.
Thaa Bagg (Explicit),TrOyMan,Ktz
Ev'rybody Know Me (Explicit),Youngbloodz,Step
Chase Me (feat. Run The Jewels & Big Boi) (Explicit),"Danger Mouse, Run The Jewels, Big Boi",Ann Redg8
Track Star (Explicit),Von Storm,CreepyUnknown
By Your Side (Neptunes Remix) (Remastered),Sade,Ktz
Do I Wanna Know?,Arctic Monkeys,Paul A.
"Hi, I'm a Slut (Explicit)",Lil Mariko,coffeecurls84
Black Moses (feat. JPEGMAFIA) (Explicit),"Channel Tres, JPEGMAFIA",Dr Fiddleballs
Cherry Pie,Warrant,Slattery
Original Gangster,Schoolly D,johnnyrandomwalker
Back In The Day,Erykah Badu,Kimmyk
Freedom,Jurassic 5,Ann Redg8
rollin (Explicit),"Marco Polo feat. sadat x, ju ju, AG",Paul A.
Shit Iz Real (Explicit),Shyheim,flaco_kream
Just Like Candy (Explicit),"MJG, 8Ball",Step
Superthug (Explicit),N.O.R.E.,maltliquorkicker
Icky Thump,The White Stripes,foxjlady2.0
Regulate (Explicit),"Warren G., Nate Dogg",JFLBridge
Sweet Dreams (Are Made of This),"Eurythmics, Annie Lennox, Dave Stewart",Eternity2Eternity
I Got Bitches (Explicit),A2M,coffeecurls84
Faded (Big Gigantic Remix),Zhu,Cali_Sober
Joypunks,Big Wild,Step
I'll Get You,"CLASSIXX, Jeppe",Paul A.
Marea (we’ve lost dancing),"Fred again.., The Blessed Madonna",Cali_Sober
