title,artist,added
The Boogie Man Song (Explicit),Mos Def,Cynsaytional
KiCKIN (Explicit),IDK,AnnieKate
bad guy,Billie Eilish,Eternity2Eternity
Kingpin (feat. Big Sean) (Wuki Remix) (Explicit),"RL Grime, Big Sean",Step
it boy (Explicit),bbno$,Slattery
Climbatize,The Prodigy,raclij
Moar Ghosts 'n' Stuff (Extended Mix),deadmau5,Dr Fiddleballs
Need Some1 (Wh0 Remix),The Prodigy,Marcus McBride
Harry Potter (Trap Remix),Trap Remix Guys,Jo
Jazz (Explicit),Mick Jenkins,Ktz
Lay It Down (feat. Gali),Holy Mob,CreepyUnknown
Goosebumps (Remix) (Explicit),"Travis Scott, HVME",Eternity2Eternity
pumpkins scream in the dead of night (remix) [feat. Freddie Dredd] (Explicit),"Savage Ga$p, Freddie Dredd",Jordan Hurst
Suicidal Thoughts (2005 Remaster) (Explicit),The Notorious B.I.G.,AnnieKate
A Nightmare on My Street,"DJ Jazzy Jeff, The Fresh Prince",AnnieKate
Kkallabassass,Spark Master Tape,Ryan Anthony
Gorehound (Live) (Explicit),Harley Poe,Seth Wilkerson
"Never Scared (feat. Cam'ron, Jadakiss & Busta Rhymes) (The Takeover Remix - Club Mix) (Explicit)","Bonecrusher, Cam'ron, Jadakiss, Busta Rhymes",Jordan Hurst
Lucky Ass Bitch (with Juicy J) (Explicit),"Mac Miller, Juicy J",J
Buy Back the Block (feat. 2 Chainz & Gucci Mane) (Explicit),"Rick Ross, 2 Chainz, Gucci Mane",KAPWN
Floating (Explicit),"ScHoolboy Q, 21 Savage",AnnieKate
(Don't Fear) The Reaper,Blue Öyster Cult,Eternity2Eternity
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams) (Explicit),"Tyler, The Creator, Lil Uzi Vert, Pharrell Williams",Slattery
Scary Monsters and Nice Sprites,Skrillex,JFLBridge
Nightmares Of The Bottom (Explicit),Lil Wayne,CMac
Color Of Your Soul,"GRiZ, CloZee",johnnyrandomwalker
KOMPRESSOR (Explicit),"Action Bronson, Larry June",flaco_kream
PISSED OFF (Explicit),"BIA, Lil Yachty",AnnieKate
