title,artist,added
All That Meat And No Potatoes,Louis Armstrong,Jordan Hurst
Gorilla (Explicit),Little Simz,katalystj
"VIRGINIA Boy (feat. Tyler, The Creator) (Remix) (Explicit)","Pharrell Williams, Tyler, The Creator",AnnieKate
Stick You (Explicit),"Capone-N-Noreaga, Tragedy Khadafi",flaco_kream
Drug Plots (feat. Inspectah Deck) (Explicit),"DJ Deadeye, Method Man, Termanology",Dr Fiddleballs
Get By (Explicit),Talib Kweli,Ann Redg8
E.I. (Explicit),Nelly,SweetAsh
Hands Up (My Last) (Explicit),Lil Wayne,Ktz
Move Fast,"Galactic, Mystikal, Mannie Fresh",maltliquorkicker
Ruthless (Explicit),Freddie Gibbs,Dr Fiddleballs
Smokey (Explicit),"Maxo Kream, BigXthaPlug, Hit-Boy",Dr Fiddleballs
Build Ya Skillz (feat. Busta Rhymes) (Explicit),"KRS-One, Busta Rhymes",J
DJ Turn It Up,Dimension,johnnyrandomwalker
KISS ME THRU THE PHONE (DnB),"Asc3nd, blurr.",Eternity2Eternity
Take Me to Your Leader (Explicit),Ice Cube,Kate Kemp
Smoke It If You Got One (feat. Asher Roth),"King Chip, Asher Roth",CMac
Gobble Gobble Turkey Wobble,Koo Koo,Jordan Hurst
Riptide,"Connor Price, Nic D",CMac
Oh Devil,Electric Guest,CMac
Ho (Album Version) (Explicit),Ludacris,CMac
THE BOUNCY BEAT PT. 2,"Ricky Desktop, Bobby Sasquatch",CMac
Outta Da Blue (Explicit),"Snoop Dogg, Dr. Dre, Alus",Kate Kemp
You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign) (Explicit),"Wiz Khalifa, Snoop Dogg, Ty Dolla $ign",AnnieKate
Like This (Explicit),MIMS,J
Surfin' (Explicit),"Kid Cudi, Pharrell Williams",Ann Redg8
Keep Pushing (Explicit),"clipping., Daveed Diggs, Jonathan Snipes, William Hutson",Slattery
Let's Get High (Explicit),"Dr. Dre, Hittman, Ms. Roq, Kurupt",Cynsaytional
No Static (feat. Greg Nice) (Explicit),Nappy Roots,maltliquorkicker
Vivrant Thing (Explicit),Q-Tip,Ann Redg8
Been Doin This (Explicit),Ryu,maltliquorkicker
Too Cold (Album Version),Vanilla Ice,geogkid21
Tennessee,Arrested Development,SweetAsh
This Is How We Do It,AlunaGeorge,maltliquorkicker
Take Ur Time,Baril,johnnyrandomwalker
tv off (Explicit),"Kendrick Lamar, Lefty Gunplay",Kate Kemp
Da Rockwilder (Explicit),"Method Man, Redman",katalystj
Hoe Cakes (Explicit),MF DOOM,Ann Redg8
Finally Moving,Pretty Lights,Eternity2Eternity
D.R.E.A.M. (Explicit),Pharoahe Monch,blackcatpickles
Drums On The Wheel (Explicit),Aesop Rock,blackcatpickles
Gravy Train,Yung Gravy,Jordan Hurst
Do It To It,"Cherish, Sean P",coffeecurls84
I Like That (Explicit),Bazzi,Jordan Hurst
Novacane (Explicit),"Lil Wayne, Kevin Rudolf",CMac
Squeeze 1st 2 - A COLORS SHOW (Explicit),Ab-Soul,Dr Fiddleballs
Never See It (feat. Juicy J) (Explicit),"Cordae, Juicy J",Step
Treat Me Right,Keys N Krates,Marcus McBride
Bad Boys,"Marshmello, Trickstar, Lil Jon",Slattery
Astronaut In The Ocean (Explicit),Masked Wolf,Slattery
Wind Blow (Album Version (Explicit)) (Explicit),Bone Thugs-N-Harmony,CMac
Welcome To Jamrock,"Damian ""Jr. Gong"" Marley",johnnyrandomwalker
Boot Scootin' Boogie (with Halestorm),"Brooks & Dunn, Halestorm",geogkid21
Turks & Caicos (feat. 21 Savage) (Explicit),"Rod Wave, 21 Savage",Jordan Hurst
The Truth (feat. Shateish) (Explicit),"Blu, Nottz",blackcatpickles
Virginia (Explicit),Clipse,AnnieKate
You Wish (with Missy Elliott & Kaliii) – Remix (Explicit),"Flyana Boss, Missy Elliott, Kaliii",Kate Kemp
Snuggle,GlobulDub,CreepyUnknown
Smallest Man (Dave's Version) (Explicit),Dave Portnoy,CMac
Rah Tah Tah (Explicit),"Tyler, The Creator",Slattery
What You Won't Do for Love,Bobby Caldwell,SweetAsh
The Truth feat Freeway & Brother Ali (Explicit),Jake One,AnnieKate
Cracc Era (Explicit),"Maxo Kream, Tyler, The Creator",Ktz
Lucid Dreams,Pharaøh,Cali_Sober
Working Bitch (Explicit),Ashnikko,paige
I Wanna Sex You Up (Single Mix),Color Me Badd,coffeecurls84
L.A.LOVE (la la) [feat. YG],"Fergie, YG",SweetAsh
Billie Jean (2008 Kanye West Mix) (feat. Kanye West) (Thriller 25th Anniversary Remix),"Michael Jackson, Kanye West",geogkid21
Dangerous (Explicit),Busta Rhymes,Slattery
Like I Should,Craig Robinson,Cynsaytional
Electric Feel,MGMT,Cynsaytional
Butter (Explicit),Snow Tha Product,Ktz
Rump Shaker,Wreckx-N-Effect,Jordan Hurst
squabble up (Explicit),Kendrick Lamar,Dr Fiddleballs
Favelas,"Degiheugi, Zackarose",CMac
No Pause,Girl Talk,katalystj
Take You There,"Wantigga, Jaël",Marcus McBride
No Effort (Explicit),Princess Nokia,Kate Kemp
More Important Than Michael Jordan,Pretty Lights,Eternity2Eternity
FLOW STATE (Explicit),Ktlyn,Ktz
Check Your Thrusters,The Polish Ambassador,CreepyUnknown
The Seed (2.0) (Explicit),"The Roots, Cody ChestnuTT",SweetAsh
Hollywood Swinging,Kool & The Gang,AnnieKate
Rabbit Hole (Explicit),Qveen Herby,Kate Kemp
September (Eric Kupper Extended Vocal Mix),"Earth, Wind & Fire",geogkid21
Deceiver,"Chris Lake, Green Velvet",Cali_Sober
California Dreamin,Freischwimmer,Eternity2Eternity
