title,artist,added
Lines (Explicit),"Big Boi, A$AP Rocky, Phantogram",CMac
Real Muthaphuckkin G's (Explicit),Eazy-E,SweetAsh
What It Is (Block Boy) (Explicit),"Doechii, Kodak Black",AnnieKate
Wish You Would (Explicit),Lil Wayne,Wilks
Rock Co.Kane Flow (feat. MF Doom) (Explicit),"De La Soul, MF DOOM",Slattery
December 4th (Explicit),Big Ghost Ltd,flaco_kream
No Gimmicks (Explicit),Soul Position,blackcatpickles
I'll Still Kill (Explicit),"50 Cent, Akon",Wilks
It Was Written (Explicit),B0ryan,Ktz
Two Tens (feat. Anderson .Paak) (Explicit),"Cordae, Anderson .Paak",CMac
Break Ya Neck (Explicit),Busta Rhymes,Cynsaytional
Handstand (feat. Saweetie) (Explicit),"French Montana, Doja Cat, Saweetie",KatalystJess
Best Is Yet To Come (Explicit),"JT Money, Cee-Lo Green",Dr Fiddleballs
Up North Trip (Explicit),Mobb Deep,flaco_kream
Preservation (Explicit),"Wu-Tang Clan, Del Tha Funkee Homosapien, Aesop Rock",Ann Redg8
Cheaters,Danny Brown,Mystery Add
Learn Truth (Explicit),"R.A. The Rugged Man, Philip Wesley, Talib Kweli",blackcatpickles
Respect (2005 Remaster) (Explicit),The Notorious B.I.G.,Cynsaytional
Make This World Better,Chris Karns,johnnyrandomwalker
Da Joint (Explicit),EPMD,blackcatpickles
I'm Bad (Explicit),LL COOL J,Jeff Gatterdam
Super Mario (Trap Remix),Trap Remix Guys,NES Jumpman
Funkdafied (Explicit),Da Brat,Jeff Gatterdam
Let Me Know (Explicit),Cam'ron,maltliquorkicker
Long Arm of the Law (Explicit),Looptroop Rockers,johnnyrandomwalker
Hey Homie (Troyboi Remix),"Sofi Tukker, TroyBoi",CMac
Luv 2 Luv U (feat. Shaunta & Playa) [Remix] (Explicit),"Timbaland, magoo, Shaunta, Playa",SweetAsh
Be Thankful for What You Got,William DeVaughn,Cali_Sober
Five Feet (Explicit),Aceyalone,blackcatpickles
Paper Plate,GZA,Wilks
Mr. Big Stuff,Jean Knight,JFLBridge
Two Dope Boyz (In a Cadillac) (Explicit),Outkast,maltliquorkicker
The Love Song (Explicit),Bush Babees,CMac
Pink Cellphone (Explicit),Deftones,Dr Fiddleballs
Microphone Fiend,Eric B. & Rakim,Jeff Gatterdam
I Like The Way She Do It (Album Version (Explicit)) (Explicit),"G-Unit, Young Buck",SweetAsh
JOYRIDE (Extended) (Explicit),Kesha,johnnyrandomwalker
Tip Toe,Sault,CMac
Espresso (Mark Ronson x FNZ Working Later Remix) (Explicit),"Sabrina Carpenter, Mark Ronson",geogkid21
Holler If Ya' Hear Me (Explicit),2Pac,Jeff Gatterdam
I'm Shinin' (Main Version - Explicit) (Explicit),The Pack,Step
I'm a Slave 4 U,Britney Spears,Step
Break Stuff (Explicit),Limp Bizkit,KatalystJess
Believe In Ya,"T-Pain, Yaeji, Girl Talk",Dr Fiddleballs
Tonite (Explicit),DJ Quik,Jeff Gatterdam
I Can't Wait,Nu Shooz,CMac
IPP,Lsc,CMac
Poseidon's Revenge,Gramatik,johnnyrandomwalker
3's Company (Explicit),"Snoop Dogg, Chris Brown, O.T. Genasis",Ktz
Red Hot (Explicit),Jurassic 5,blackcatpickles
I Can Give You My Life,"Imanbek, Bacanov",Ktz
Ain't No Future In Yo' Frontin' (Explicit),"M.C. Breed, DFC",Jeff Gatterdam
hey now (Explicit),"Kendrick Lamar, DODY6",Ann Redg8
Clock Strikes (Remix) (Explicit),"Timbaland, Magoo",SweetAsh
Back to the Hotel (Explicit),N2Deep,Jeff Gatterdam
Pop It Off (Explicit),"Tyga, Lil Wayne",KatalystJess
Da Rockwilder (Explicit),"Method Man, Redman",Slattery
My Shit Bang (Explicit),E-40,SweetAsh
Canto De Ossanha,Jurassic 5,maltliquorkicker
Addictive (Explicit),"Truth Hurts, Rakim",Cali_Sober
Deee-Lite Theme,Deee-Lite,Mystery Add
E=mc2 (Explicit),"J Dilla, Common",geogkid21
None Of Your Business (Explicit),Salt-N-Pepa,Ann Redg8
Keep Pushing (Explicit),"clipping., Daveed Diggs, Jonathan Snipes, William Hutson",Dr Fiddleballs
What We Came To Do (Explicit),"B-Real, Psycho Les, Too $hort",Ann Redg8
Shutterbugg (Album Version (Explicit)) (Explicit),"Big Boi, cutty",Slattery
People Get Up And Drive Your Funky Soul (Remix),"James Brown, Fred Wesley, The J.B.'s",JFLBridge
Hood Go Crazy (Explicit),"Tech N9ne, 2 Chainz, B.o.B",Jordan Hurst
Argue (I Can't Argue With You),DJ Suede The Remix God,AnnieKate
Simple As... (Explicit),Kid Cudi,blackcatpickles
On Fire (Explicit),Lloyd Banks,SweetAsh
All We Got (Explicit),deM atlaS,blackcatpickles
777 (Explicit),"Bruno Mars, Anderson .Paak, Silk Sonic",Cynsaytional
WHAT'S DA CENARIO (Explicit),Coast Contra,NES Jumpman
Bop Gun (One Nation),"Ice Cube, George Clinton",Jeff Gatterdam
Shake Your Rump,Beastie Boys,Jeff Gatterdam
Cross The Tracks (We Better Go Back),Maceo And The Macks,maltliquorkicker
Got Your Money (feat. Kelis) (Explicit),"Ol' Dirty Bastard, Kelis",Ann Redg8
Bitch Betta Have My Money (Explicit),"Fred Durst, Insane Clown Posse",geogkid21
After Party (Explicit),Koffee Brown,Cynsaytional
Fat Juicy & Wet (Explicit),"Sexyy Red, Bruno Mars",SweetAsh
Slave (Explicit),Tyga,Step
Pressure (Explicit),"Snoop Dogg, Dr. Dre, K.A.A.N.",Ann Redg8
Never Been to Mexico (Explicit),Regina Hardon,KatalystJess
Bomb Intro / Pass That Dutch (Explicit),Missy Elliott,johnnyrandomwalker
The Celebration Song,Brock Berrigan,Dr Fiddleballs
Don't Go Out (Explicit),Juicy J,flaco_kream
Mob Shit (Explicit),Gucci Mane,Wilks
Lookin Boy (feat. Yung Joc) (Main Version - Explicit) (Explicit),"Hot Stylz, Yung Joc",Step
Broccoli (feat. Lil Yachty) (Explicit),"DRAM, Lil Yachty",johnnyrandomwalker
4X4 (Explicit),Travis Scott,SweetAsh
Cinema (Skrillex Remix) (feat. Gary Go) (LUCA LUSH Flip),"Benny Benassi, Gary Go",Step
She Said OK (Explicit),"Big Boi, Theophilus London, Tre Luce",AnnieKate
STILL TALK’N THAT SHIT (Explicit),"Killer Mike, Key Glock, Project Pat",CMac
Collard Greens (Explicit),"ScHoolboy Q, Kendrick Lamar",SweetAsh
OMG (Explicit),"Diamond D, Pharoahe Monch",Dr Fiddleballs
Fo Yo Sorrows (Album Version (Explicit)) (Explicit),"Big Boi, George Clinton, Too $hort, Sam Chris",CMac
General (Explicit),JID,AnnieKate
Dreamin Of The Past (Explicit),"Pusha T, Kanye West",AnnieKate
She Got It (Explicit),Teddy Swims,KatalystJess
"So Fresh, So Clean (Explicit)",Outkast,coffeecurls84
November Has Come,Gorillaz,Ann Redg8
Chicken Strips & Ass (Explicit),"That Mexican OT, Paul Wall",KatalystJess
Running Away,Roy Ayers,Cynsaytional
Rolling Stone (Explicit),Black Hippy,maltliquorkicker
Kiss The Sky (Explicit),Nappy Roots,Ann Redg8
1991,Azealia Banks,coffeecurls84
Lithium,Nirvana,coffeecurls84
Flaunt It/Cheap (Explicit),Rae Sremmurd,Step
Theme From Shaft (Remastered 2009),Isaac Hayes,JFLBridge
Kids,MGMT,Eternity2Eternity
Soul Makossa,Manu Dibango,Jamie Jackson
Know The Ledge,Eric B. & Rakim,Jeff Gatterdam
Me Myself and I,De La Soul,Jeff Gatterdam
Riot (Explicit),2 Chainz,flaco_kream
Blasé (feat. Future & Rae Sremmurd) [Louis the Child Remix] (Explicit),"Ty Dolla $ign, Future, Rae Sremmurd",Cali_Sober
Bitch I'm Nice (Explicit),Doechii,AnnieKate
Pusherman,Curtis Mayfield,JFLBridge
Oh (feat. Ludacris),"Ciara, Ludacris",coffeecurls84
Tribal Trap,Peace Sine,CMac
Biz's Beat of the Day #1,Biz Markie,NES Jumpman
NEW MAGIC WAND (Explicit),"Tyler, The Creator",coffeecurls84
Karma Police,"Easy Star All-Stars, Citizen Cope",maltliquorkicker
