title,artist,added
Mother Popcorn (Pt. 1),James Brown,Jordan Hurst
Am I Wrong (Explicit),"Anderson .Paak, ScHoolboy Q",Cynsaytional
Lose Control,"Young Franco, EARTHGANG, Jafunk",CMac
Walking on Broken Glass,Annie Lennox,johnnyrandomwalker
Lift Me Up (Explicit),Vince Staples,flaco_kream
cLOUDs (Explicit),J. Cole,AnnieKate
Caroline (Explicit),Aminé,AnnieKate
Black Power. White Powder. (Explicit),"Killer Mike, 2 Chainz",paiger
5 On It (71 Digits Remix),"Steff da Campo, Chico Rose",Cali_Sober
Mama Say Mama Sa (Original Mix),"Lookee, Stefane",geogkid21
The Rhythm of the Night (Ricky Marano Remix),Corona,SweetAsh
UOENO (Explicit),Black Hippy,Ann Redg8
SKIPP (Explicit),Doechii,flaco_kream
Stop It,FISHER,Eternity2Eternity
Luck of Lucien,A Tribe Called Quest,paiger
Shut Shit Down (Explicit),"TroyBoi, Armani White",Eternity2Eternity
Adrenaline! (Explicit),"The Roots, Dice Raw, Beanie Sigel",CMac
Can't Truss It,Public Enemy,CMac
Oh Shit (Explicit),The Pharcyde,KatalystJess
Cereal Killer (Album Version (Explicit)) (Explicit),"Method Man, Redman",Ann Redg8
I Can't Wait,Nu Shooz,paiger
GFU (Explicit),Tyga,KatalystJess
HOW YOU DOIN? (Explicit),Dirtyxan,KatalystJess
Hurt Feelings,Flight Of The Conchords,Ann Redg8
Fashion Week (feat. G-Eazy) (Explicit),"Wale, G-Eazy",Cynsaytional
NOKIA (Explicit),Drake,J
Shake (feat. Blimes),Habitaat,CMac
Skew It on the Bar-B (feat. Raekwon) (Explicit),"Outkast, Raekwon",Ann Redg8
Tuesday (Explicit),DUCKWRTH,KatalystJess
Never Freestyle (Explicit),Coast Contra,maltliquorkicker
New Year New Me,Norman Sann,NES Jumpman
All Gold Everything (Remix) (Explicit),"Trinidad James, T.I., Jeezy, 2 Chainz",AnnieKate
Feelin' Myself (Explicit),Mac Dre,Slattery
React (feat. Redman) (Explicit),"Erick Sermon, Redman",flaco_kream
Never Say Sorry (Explicit),"Mr. Green, HAVOC",JFLBridge
Bowtie (feat. Sleepy Brown & Jazze Pha) (Explicit),"Outkast, Sleepy Brown, Jazze Pha",JFLBridge
"""Al Green Joint (Take a Walk with Me)"" (Explicit)",Lil Fame,Jordan Hurst
Gemini Sun,Black Pumas,Dr Fiddleballs
Long Live the Chief (Explicit),Jidenna,Cynsaytional
F**k Faces (Explicit),Scarface,AnnieKate
Candy (Explicit),UGK (Underground Kingz),J
Smoke Buddah (Explicit),Redman,CMac
Harold’s (Explicit),"Freddie Gibbs, Madlib",J
