title,artist,added
Proofread (feat. Wiz Khalifa) (Explicit),"Famous Dex, Wiz Khalifa",ktz
3:16 (Explicit),Murs,C-Bone
Crime Bud and Women (Explicit),Wiz Khalifa,Slattery
Baby Boy (feat. Sean Paul),"Beyoncé, Sean Paul",SweetAsh
Losing Out,Black Milk,Dr Fiddleballs
Back To Life,"Soul II Soul, Caron Wheeler",coffeecurls84
Savagely Attack (feat. Ghostface Killah),"Ghostface Killah, CZARFACE",blackcatpickles
Rack City (Album Version (Explicit)) (Explicit),Tyga,Cynsaytional
Trigger Finger (Explicit),"Lil Wayne, Soulja Boy",Jordan Hurst
Toot It Up (Explicit),"Pardison Fontaine, Cardi B",NES Jumpman
Fly,Sugar Ray,paiger
Hey Ladies,Beastie Boys,johnnyrandomwalker
Jump,Kris Kross,JFLBridge
Proteck Ya Neck II the Zoo (Explicit),Ol' Dirty Bastard,geogkid21
SWAT (Explicit),"Talib Kweli, J. Rawls, Coast Contra",maltliquorkicker
Norf Norf (Explicit),Vince Staples,blackcatpickles
La Schmoove,FU-Schnickens,Ann Redg8
Girlfight (radio edit feat. Big Boi & Lil Jon),"Brooke Valentine, Lil Jon, Big Boi",SweetAsh
Rump Shaker,Wreckx-N-Effect,SweetAsh
Optimistic,Sounds Of Blackness,NES Jumpman
Don't Mind If I Do (Explicit),Mac Miller,Slattery
Pimpin' Like Kenny Red (Explicit),"Too $hort, Larry June, BossLife Big Spence",flaco_kream
CLUB SANDWICH (Explicit),Joey Valence & Brae,CMac
Loungin',"Guru, Donald Byrd",JFLBridge
Fat Lip (Explicit),Sum 41,johnnyrandomwalker
I Wish,Skee-Lo,JFLBridge
Don't Tell 'Em (Explicit),"Jeremih, YG",Cynsaytional
Outta My Mind (Explicit),"Busta Rhymes, Bell Biv DeVoe",geogkid21
The Lump Lump (Explicit),Sadat X,flaco_kream
Poop (comes out of the butt),Snuggle Bunch,NES Jumpman
Money (Explicit),Guapdad 4000,ktz
Tarantula (feat. Butch Cassidy) (Explicit),"Mystikal, Butch Cassidy",maltliquorkicker
I Will Survive (Explicit),CAKE,Eternity2Eternity
I Got It Made,Special Ed,C-Bone
1000 Miles (Explicit),Tye Harris,NES Jumpman
Be Easy (Explicit),"Ghostface Killah, Ice Cube",CMac
fuera de vista (feat. Baco Exu Do Blues) [TROOKO’s Versión] (Explicit),"Run The Jewels, Baco Exu do Blues",maltliquorkicker
Stuck On You (Explicit),Prodigy,flaco_kream
Good Lord,Kormac,johnnyrandomwalker
The Workload (Explicit),"Skyzoo, Method Man",blackcatpickles
Mr. Loverman,Shabba Ranks,Eternity2Eternity
West Savannah (Explicit),Outkast,maltliquorkicker
Ya Don't Stop (Explicit),"DJ Premier, Lil Wayne, Rick Ross, Big Sean",Ann Redg8
The L.A. Song,People Under The Stairs,maltliquorkicker
6 Underground,Sneaker Pimps,johnnyrandomwalker
Garden Grove (Explicit),"Sublime, Jakobs Castle",paiger
Boomshakalaka (Explicit),"Chip tha Ripper, Bun B",Jordan Hurst
It's Gonna Be Me,*NSYNC,JFLBridge
Sock It 2 Me (feat. Da Brat) (Explicit),"Missy Elliott, Da Brat",Cynsaytional
He's Dead (Explicit),Scarface,maltliquorkicker
**RIDIN** (Explicit),"Jessie Reyez, Lil Wayne",Ann Redg8
Punch Out! (Feat. Big Shug Of The Gangstarr Foundation) (Explicit),Statik Selektah,Jordan Hurst
Bawse (feat. Prof) (Explicit),Merkules,Dr Fiddleballs
Caught Their Eyes (Explicit),"JAY-Z, Frank Ocean",Dr Fiddleballs
King of the Beach (Explicit),Sweatshop Union,blackcatpickles
The Buzz,"Hermitude, Mataya, Young Tapz",SweetAsh
Wildfire,"SBTRKT, Little Dragon",CMac
Feral (Explicit),Token,Slattery
Surf Swag (Explicit),Lil Wayne,Slattery
Whenever (Explicit),Megan Thee Stallion,Dr Fiddleballs
Tainted Love,Soft Cell,Eternity2Eternity
Patty Cake (Explicit),Kodak Black,Jordan Hurst
BRAAAP,"Secret Recipe, Thug Shells",geogkid21
Walk Around Slow-Mo (Explicit),"Mr. Green, 2 Chainz",flaco_kream
Yonkers (Explicit),"Tyler, The Creator",Ann Redg8
Club Down (with Sarah Bernat) (Explicit),"clipping., Sarah Bernat",geogkid21
In My Nature (Explicit),"Luniz, 8Ball & MJG",flaco_kream
Vibe (If I Back It Up) (Explicit),"Cookiee Kawaii, Tyga",coffeecurls84
Supreme Ninja Training Montage 2 (Explicit),"Mr. Green, DMX",flaco_kream
Old Town Road (Diplo Remix),"Lil Nas X, Billy Ray Cyrus, Diplo",geogkid21
Are You That Somebody,Aaliyah,SweetAsh
Exploration of Space,Cosmic Gate,Eternity2Eternity
Better Off Alone,Alice DJ,SweetAsh
"The Original Theme from ""Blade"" (2016 Remaster)","The Pump Panel, Dan Zamani, Tim Taylor (Missile Records)",johnnyrandomwalker
Poledancer (feat. Megan Thee Stallion) (Explicit),Wale,CMac
Bodies (feat. JEANLOUIS),Know Good,Eternity2Eternity
The Recipe (Bonus Track) (Explicit),"Kendrick Lamar, Dr. Dre",Ann Redg8
Cut It (feat. Young Dolph) (Explicit),"O.T. Genasis, Young Dolph",Cynsaytional
The Tears Of A Clown,"Smokey Robinson, The Miracles",Eternity2Eternity
Deep End,John Summit,C-Bone
Push The Feeling On (Mk Dub Revisited Edit),Nightcrawlers,SweetAsh
Design in Malice,"Young Zee, Pacewon",Dr Fiddleballs
Aww Shit (Explicit),Bone Thugs-N-Harmony,Dr Fiddleballs
Shorty Wanna Be A Thug (Explicit),2Pac,Slattery
Back Pocket,Vulfpeck,maltliquorkicker
No Can Do (Album Version (Explicit)) (Explicit),Tech N9ne,johnnyrandomwalker
Wu-Tang Clan Ain't Nothing Ta F**K Wit (Explicit),"Tom Morello, Chad Smith, Wu-Tang Clan",Ann Redg8
Dinosaur,Vibronics,CreepyUnknown
"Extra, Extra (Explicit)",Paula Perry,johnnyrandomwalker
Mwana,"Sampa the Great, Mwanje Tembo, Theresa Mutale Tembo, Sunburnt Soul Choir",CMac
Let Me See You Bounce,Biz Markie,Ann Redg8
boyfriend,Bricknasty,flaco_kream
6 Beers (Explicit),Myke Bogan,blackcatpickles
The King of Wishful Thinking,Go West,ktz
Need You Tonight,INXS,Eternity2Eternity
Give Me the Night,George Benson,SweetAsh
Wildfires,Sault,CMac
Know The Ledge,Eric B. & Rakim,Dr Fiddleballs
Mic Jack (Explicit),"Big Boi, Adam Levine, Sleepy Brown, Scar",CMac
Empire feat. Flowdan (Dr. Fresch Remix),"The Funk Hunters, Stickybuds, Flowdan",Eternity2Eternity
Stroking My Meat (Explicit),Illunimati Corporation,flaco_kream
Enter Sandstorm,Lespecial,maltliquorkicker
White Noise,"Disclosure, AlunaGeorge",Cali_Sober
Choices (Yup) (Explicit),E-40,Slattery
Fresh (House of Prayers Poolside Edit),Crazibiza,Eternity2Eternity
My Love,"Route 94, Jess Glynne",Eternity2Eternity
GOOD PUSS (Explicit),COBRAH,CMac
Spill the Wine,War,raclij
Wish I Didn't Miss You,Angie Stone,SweetAsh
Love Train,The O'Jays,JFLBridge
Slow Down Love (feat. Chelsea Cutler),"Louis The Child, Chelsea Cutler",Cali_Sober
like JENNIE (Explicit),JENNIE,SweetAsh
151 Rum (Explicit),JID,Slattery
