title,artist,added
DON'T LET THE DEVIL (Explicit),"Killer Mike, El-P, thankugoodsir",Carl Boudreau
All Caps (Explicit),"Madvillain, Madlib, MF DOOM",Slattery
Everybody Rise (Explicit),Busta Rhymes,C-Bone
I Like Tuh (Explicit),"Carnage, ILOVEMAKONNEN",Sonic Doom
Player's Anthem (Explicit),JUNIOR M.A.F.I.A.,johnnyrandomwalker
Get Your Roll On (Explicit),Big Tymers,Sonic Doom
Basket Case,Green Day,SweetAsh
Future Blind,Pretty Lights,johnnyrandomwalker
BUTTER (Special Version) (Explicit),GREG NICE,Carl Boudreau
Scotty (Explicit),D4L,Sonic Doom
Get Stupid (Explicit),Mac Dre,Sonic Doom
Mary Jane,Rick James,YaLadyK
Witness (1 Hope),Roots Manuva,johnnyrandomwalker
Toxic Shock,Kognitif,Carl Boudreau
Learn How to Watch (Explicit),Carnage,Dr Fiddleballs
Breathe,The Prodigy,Jordan Hurst
If U Need It,Sammy Virji,Cali_Sober
Pro Nails (Album Version) (Explicit),"Kid Sister, Kanye West",SweetAsh
No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper, Lil Wayne, 2 Chainz",Jordan Hurst
Better Off Alone Freestyle (Explicit),Ivan Ooze,Slattery
JU$T (feat. Pharrell Williams & Zack de la Rocha) (Explicit),"Run The Jewels, El-P, Killer Mike, Zack De La Rocha, Pharrell Williams",Jordan Hurst
Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat) (Explicit),"Three 6 Mafia, UGK (Underground Kingz), Project Pat",NES Jumpman
"Unfuckwitable Flow (feat. Dizzy Wright, Madchild & Rittz) (Explicit)",DJ Hoppa,johnnyrandomwalker
Nightmares Of The Bottom (Explicit),Lil Wayne,Jordan Hurst
Tell Me,"RL Grime, What So Not",Cali_Sober
Clueless,Wobase,CreepyUnknown
Pony (Explicit),Ginuwine,Jordan Hurst
Bad Girls,M.I.A.,coffeecurls84
DAMN,"Joyryde, Freddie Gibbs",flaco_kream
Schikken (feat. Flmmboiint Frdii),Spark Master Tape,Jordan Hurst
Worth the Weight (feat. Seun Kuti) (Explicit),"Jidenna, Seun Kuti",Carl Boudreau
Victory Lap (Explicit),"Fred again.., Skepta, PlaqueBoyMax",flaco_kream
$500 Ounces (Explicit),"Westside Gunn, Freddie Gibbs, Roc Marciano",flaco_kream
Manslaughter (Explicit),"Pop Smoke, Rick Ross, The-Dream",slimjim80889
Choose U (Explicit),Project Pat,Dr Fiddleballs
Rubberband Banks (Explicit),Young Dro,Sonic Doom
Dale (Explicit),TroyBoi,Ann Redg8
Scissored In My Chevy (Explicit),Beats By AI,slimjim80889
Terrible 2's (feat. Run The Jewels) (Explicit),"DJ Premier, Run The Jewels",C-Bone
Good Lovin (Explicit),"Ludacris, Miguel",Ktz
Baby Blue (feat. Chance the Rapper) (Explicit),"Action Bronson, Chance the Rapper",Ktz
Poledancer (feat. Megan Thee Stallion) (Explicit),Wale,CMac
Kryptonite,3 Doors Down,NES Jumpman
Hella Fresh (Explicit),The Grouch & Eligh featuring Kreayshawn,Sonic Doom
Windows (Explicit),"Kamaiyah, Quavo, Tyga",Sonic Doom
The Safety Dance (Extended Dance Version),Men Without Hats,Eternity2Eternity
Coño (Explicit),"PURI, Jhorrmountain, Adje",Carl Boudreau
U Don't Have to Call (Explicit),Usher,Step
FUN! (Explicit),Vince Staples,Sonic Doom
Put Ya Hands Up (Edit),Jadakiss,Cali_Sober
Flute Loop (Explicit),Beastie Boys,maltliquorkicker
"Uzi (Pinky Ring) (feat. U-God, Raekwon, Ghostface Killah, RZA, Method Man, Inspectah Deck, Masta Killa & GZA) (Explicit)","Wu-Tang Clan, U-God, Raekwon, Ghostface Killah, RZA, Method Man, Inspectah Deck, Masta Killa, GZA",Ann Redg8
Tonite (Explicit),DJ Quik,cometbot
GEEKALEEK (feat. Cash Kidd) (Explicit),"Ohgeesy, Cash Kidd",Marcus McBride
"Fat Cats, Bigga Fish (Explicit)",The Coup,Ann Redg8
Knowing,Outkast,C-Bone
Elastic (Explicit),Joey Purp,Carl Boudreau
Wheelz of Steel (Explicit),Outkast,flaco_kream
Don't Give Me No Bammer Weed (Explicit),RBL Posse,Sonic Doom
"1, 2, 3, 4 (Sumpin' New) [Timber Mix] (Remastered)",Coolio,NES Jumpman
Knee Deep (Deep As A Mutha Funker Remix) (Explicit),"funkadelic, Digital Underground",geogkid21
Groceries,Mallrat,Slattery
Better Than Gold,"Justin Hawkes, Andrew Hellier",BURNDOWN4WAT
Dancing with Myself,Generation X,Eternity2Eternity
Approach With Caution (Stalag Riddim Remix) (Explicit),"Quakers, Sampa the Great",Carl Boudreau
Hypno (Explicit),"T.I., Rahky",Ktz
Crook County (Bone Crusher Mix feat. Newsense) (Explicit),"Twista & The Speedknot Mobstaz, newsense",flaco_kream
Sinners (Mo' Better Blues) (Explicit),"Wu-Tang Clan, Mathematics, Erick Sermon, Keith Murray, Jamal",Dr Fiddleballs
Come Together,The Brothers Johnson,geogkid21
"Hot Damn (feat. Ab-Liva, Pharrell & Rosco P. Coldchain) (Club Mix) (Explicit)","Clipse, Ab-Liva, Pharrell Williams, Rosco P. Coldchain",Step
Hello Hello Hello (Polo & Pan Remix) (Explicit),Remi Wolf,johnnyrandomwalker
Free (Explicit),Little Simz,flaco_kream
Do What Playas Do (Explicit),"Mysonne, Mase, Eightball",Dr Fiddleballs
Tops Drop (Explicit),Fat Pat,johnnyrandomwalker
Vossi Bop (Explicit),Stormzy,Carl Boudreau
I Look Good (Explicit),O.T. Genasis,Carl Boudreau
Dis Generation (Explicit),A Tribe Called Quest,johnnyrandomwalker
Escapism. (Explicit),"RAYE, 070 Shake",CMac
"Hot (I Need To Be Loved, Loved, Loved, Loved)",James Brown,geogkid21
Where I  Wanna Be (Explicit),"Nate Dogg, Kurupt, Shade Sheist",Step
Township Rebellion (Explicit),Rage Against The Machine,paiger
Sexy Black Timberlake (Explicit),Channel Tres,SweetAsh
When I Think Of You,Janet Jackson,Eternity2Eternity
Loaded (Explicit),"Destructo, Gary Richards, Yo Gotti",Eternity2Eternity
Thief (Explicit),Little Simz,flaco_kream
(3 Is) The Magic Number,De La Soul,NES Jumpman
Move Ya Body (feat. Vybz Kartel & Jabba) [Remix],"Nina Sky, Vybz Kartel, JABBA",KatalystJess
Four Twenty (Explicit),Malaa,Eternity2Eternity
Weak,"Vintage Culture, Maverick Sabre, Tom Breu",Murder_Mittens
What Else Is There? (Thin White Duke Mix),Röyksopp,slimjim80889
Sweet Dreams (Are Made of This) (Remastered),"Eurythmics, Annie Lennox, Dave Stewart",Eternity2Eternity
365 (Explicit),Charli xcx,NES Jumpman
Pick Up The Phone,"Sofi Tukker, Nonô",Ann Redg8
Pursuit Of Happiness (Extended Steve Aoki Remix) (Explicit),"Kid Cudi, MGMT, Ratatat",Jordan Hurst
Kiss from a Rose (Kicks from a Rhodes Mix),Seal,geogkid21
While The Record Spins,Riordan,Marcus McBride
get down on it,"Young Franco, Kool & The Gang",Dr Fiddleballs
Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix],"Maverick Sabre, Jorja Smith",Ktz
Late Night Tip (Explicit),Three 6 Mafia,YaLadyK
Music,Madonna,SweetAsh
Strap On The Side,Spice 1,flaco_kream
Hellrazor (Explicit),2Pac,flaco_kream
Final Form (Explicit),Sampa the Great,Carl Boudreau
Get Busy (Album Version (Explicit)) (Explicit),"The Roots, Dice Raw, Peedi Crakk",Carl Boudreau
Aftergold,Big Wild,Jordan Hurst
Simon Says (Remix) (Explicit),"Pharoahe Monch, Lady Luck, Method Man, Redman, Shabaam Sahdeeq, Busta Rhymes",Ann Redg8
