title,artist,added
The Food (Explicit),common,Ann Redg8
Claimin' True (Explicit),Outkast,J
Back Home (The Return),Common Market,Xenocite
Bottlez (feat. Detail) (Explicit),"T-Pain, Detail",Sonic Doom
Welcome to the World of the Plastic Beach (feat. Snoop Dogg and Hypnotic Brass Ensemble),"Gorillaz, Hypnotic Brass Ensemble, Snoop Dogg",Jordan Hurst
"If I'm Lyin', I'm Flyin' (Explicit)",Kodak Black,flaco_kream
98 Freestyle (Explicit),Big L,Slattery
600 School (Explicit),"Raekwon, Ghostface Killah, Method Man",Hyghgynx
In My Life (Album Version (Explicit)) (Explicit),"Juvenile, Mannie Fresh",YaLadyK
BUTTER (Special Version) (Explicit),GREG NICE,Carl Boudreau
Maneater,Daryl Hall & John Oates,Cali_Sober
Taking Everything (from The Bad Guys 2),Busta Rhymes,Ann Redg8
I've Got that Tune,Chinese Man,CreepyUnknown
We Luv Deez Hoez (feat. Backbone & Big Gipp) (Explicit),"Outkast, Backbone, Big Gipp",Sonic Doom
It's Funky Enough,The D.O.C.,Cynsaytional
Cookin (Explicit),Tona,Carl Boudreau
Satisfaction - Push Push Push,"PXSEIDON, sepulcher.",Hyghgynx
Come Back Baby (Explicit),Pusha T,Carl Boudreau
The Gang (Album Version (Explicit)) (Explicit),"Shyne, Foxy Brown",Step
Act Too (The Love Of My Life) (Explicit),"The Roots, Common",Cynsaytional
Ensalada (Explicit),"Freddie Gibbs, The Alchemist, Anderson .Paak",J
I'm Your Captain/Closer To Home (Remastered 2002),Grand Funk Railroad,Jordan Hurst
Squat!,De La Soul,J
"Kick, Push",Lupe Fiasco,Malte
I'll Be There For You/You're All I Need To Get By (Puff Daddy Mix),"Method Man, Mary J. Blige",NES Jumpman
Sledgehammer (2012 Remaster),Peter Gabriel,Cali_Sober
ATLiens (Explicit),Outkast,Malte
The Watcher (Explicit),"Dr. Dre, Eminem, Knoc 'Turn 'Al",Cali_Sober
Don't Drop That Thun Thun (Explicit),finatticz,Slattery
Treat Me Like a Pirate (feat. Whatchyamacallit),Flynt Flossy,Jordan Hurst
Steady Mobbin' (Explicit),Ice Cube,CMac
"The Boss (From ""Black Caesar"" Soundtrack)","James Brown, The J.B.'s",paiger
Eminence Front,The Who,paiger
2getha Baby (Album Version) (Explicit),Ghostface Killah,Xenocite
No Time To Play,"Guru, Ronny Jordan, DC Lee",Step
Piece of My Heart,Tara Kemp,johnnyrandomwalker
Burn Rubber (Explicit),Too $hort,Sonic Doom
I Wanna Sex You Up (Single Mix),Color Me Badd,flaco_kream
Throw Your Hands Up (Treach Version),L.V.,Cynsaytional
Islands In the Stream,"Dolly Parton, Kenny Rogers",Jordan Hurst
hey now (Explicit),"Kendrick Lamar, DODY6",Xenocite
Ride Wit Me (Explicit),"Nelly, City Spud",Slattery
911,Teddy Swims,YaLadyK
Can't Go For That (Explicit),"2 Chainz, Ty Dolla $ign, Lil Duval",CMac
Let It All Hang Out,A.D.O.R.,johnnyrandomwalker
(She's Got) Skillz,All-4-One,YaLadyK
Connected,Stereo MC's,coffeecurls84
Goldeneye,Tina Turner,johnnyrandomwalker
Rump Shaker,Wreckx-N-Effect,Slattery
Slippery People (2005 Remaster),Talking Heads,paiger
Luck of Lucien,A Tribe Called Quest,CMac
Fantastic Voyage,Coolio,Jordan Hurst
METATRON (feat. Lola Moxom) (Explicit),"GoldLink, Lola Moxom",Step
The Rock,"Chali 2na, Cut Chemist, The Funk Hunters",Ann Redg8
Gooey (Gilligan Moss Remix),Glass Animals,paiger
Pnnbll (Explicit),"Spark Master Tape, INDIKKAWCH, FLMMBOiiNT FRDii",CMac
Flashlight (ft. Project Pat & Juicy J) (Explicit),"Diplo, Project Pat, Juicy J",Dr Fiddleballs
4EvaNADay (Theme Song) (Explicit),Big K.R.I.T.,Step
Nike Boots,Wale,Step
Brain Stew (Explicit),Green Day,CMac
9mm (Explicit),"Memphis Cult, Groove Dealers, SPLYXER",Hyghgynx
Raise Up (USA Remix),Petey Pablo,NES Jumpman
Int'l Players Anthem (I Choose You) (feat. Outkast) (Explicit),"UGK (Underground Kingz), Outkast",Xenocite
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),"T-Pain, Joey Galaxy",Ann Redg8
This Means War!! (feat. Ozzy Osbourne) (Explicit),"Busta Rhymes, Ozzy Osbourne",Cali_Sober
I'm Drunk (Explicit),Lil Dicky,flaco_kream
I'm so High (Explicit),Max B,Sonic Doom
F.I.C.O. (Explicit),"Clipse, Stove God Cooks, Pusha T, Malice",Xenocite
Moana Lisa (Explicit),Only Fire,Dr Fiddleballs
Garden Grove (Explicit),Sublime,CMac
Exhibit C (Explicit),J A Y  E L E C T R O N I C A,Slattery
Surf & Turf (Explicit),"Boldy James, The Alchemist, Vince Staples",flaco_kream
No Tears (Explicit),Scarface,flaco_kream
Johnny B. Goode,Chuck Berry,Eternity2Eternity
Phone Numbers (Explicit),"Dominic Fike, Kenny Beats",CMac
Next To You,"Erykah Badu, The Alchemist",Cynsaytional
Cold as Ice (Explicit),M.O.P.,Carl Boudreau
Work (feat. Vo Williams),"Apashe, Vo Williams",Carl Boudreau
Capone Bone (Explicit),"Capone, N.O.R.E.",J
Grits,RZA,CMac
Snow Love,Maybe Watson,Carl Boudreau
The Start of Your Ending (41st Side) (Explicit),Mobb Deep,flaco_kream
Killem with Kindness (Explicit),Dizzy Wright,CMac
Poisonous (Edit),"Dilated Peoples, Devin The Dude",Sonic Doom
Keep 'Em Guessin' (Explicit),Ant Banks,Step
DAMN (Explicit),Joey Purp,Dr Fiddleballs
Elastic (Explicit),Joey Purp,Carl Boudreau
Big Poe (feat. Sk8brd) (Explicit),"Tyler, The Creator",Ann Redg8
Caribbean Queen (No More Love On the Run),Billy Ocean,Jordan Hurst
Feel It Still (ZHU Remix),Portugal. The Man,Cali_Sober
Wildfires,Sault,Carl Boudreau
Orinoco Flow,Enya,Jordan Hurst
Just Dropped In (To See What Condition My Condition Is In),"Kenny Rogers, The First Edition",CMac
Island In The Sun,Weezer,Jordan Hurst
Kokomo,The Beach Boys,Jordan Hurst
Situation,Yaz,coffeecurls84
Knight Rider (Trap Remix),Trap Remix Guys,CMac
Johnny Dang (Explicit),"That Mexican OT, Paul Wall, DRODi",Xenocite
Sussudio (2016 Remaster),Phil Collins,Cali_Sober
When A Fire Starts To Burn,Disclosure,Cali_Sober
NO CAP,"Disclosure, Anderson .Paak",johnnyrandomwalker
White Horse (2008 Remaster),Laid Back,coffeecurls84
Blueberry Yum Yum (Explicit),"Ludacris, Sleepy Brown",Sonic Doom
Charge It Remix (feat. Smino) (Explicit),"Smino, ENNY",Xenocite
F**k The Summer Up (feat. Biker Boy Pug) (Explicit),"Leikeli47, Biker Boy Pug",johnnyrandomwalker
Moonwalkin (Explicit),Juicy J,Step
Iron Man,Yookie,Eternity2Eternity
Day 'N' Nite (Crookers Remix) (Explicit),Kid Cudi,Eternity2Eternity
Bodies Hit The Floor,"Sofi Tukker, Drowning Pool",Ann Redg8
What’s Crackin (Explicit),"Pop Smoke, Takeoff",J
Laugh Now Cry Later (Explicit),"Drake, Lil Durk",Slattery
Wildfire,"SBTRKT, Little Dragon",Eternity2Eternity
Victory Lap (Explicit),"Fred again.., Skepta, PlaqueBoyMax",Ann Redg8
The Illest (Explicit),"Far East Movement, Riff Raff",Eternity2Eternity
IM COMING OVER THERE (Explicit),"The Cool Kids, Guapdad 4000",Sonic Doom
My Biggest Hater,Trinidad James,johnnyrandomwalker
Gun In Yo Purse (feat. Young Thug & TiaCorine) (Explicit),"Chance the Rapper, Young Thug, TiaCorine",CMac
25 or 6 to 4,Chicago,CMac
