title,artist,added
Phoenix,Daft Punk,raclij
In the Morning,Zhu,Cali_Sober
On My Mind (Purple Disco Machine Remix),"Diplo, SIDEPIECE",Eternity2Eternity
Which One (Explicit),"Drake, Central Cee",Ham Sammich
"My Neck, My Back (Lick It) (BENZI & BLVD. Remix) (Explicit)","Khia, Benzi, Blvd.",Adamino
D.A.N.C.E,Justice,Cali_Sober
New Gold (feat. Tame Impala and Bootie Brown) (Explicit),"Gorillaz, Tame Impala, Bootie Brown",Dr Fiddleballs
King James (Explicit),Anderson .Paak,Cynsaytional
Got Some Teeth (Album Version (Explicit)) (Explicit),Obie Trice,Ham Sammich
Brand New (Explicit),"Tyga, YG, Lil Wayne",Slattery
Don't Sweat The Technique,Eric B. & Rakim,Bier
Tonite (Explicit),DJ Quik,Bier
Rosa Parks (Explicit),Outkast,Bier
This Is How We Do It,Montell Jordan,Xenocite
Fast Car,Tracy Chapman,Eternity2Eternity
93 'Til Infinity,Souls Of Mischief,Jessica Benefield
Lapdance (Explicit),"N.E.R.D, Vita, Lee Harvey",SweetAsh
Party Up (Explicit),DMX,Bier
The Negotiation Limerick File (Handsome Boy Modeling School Makeover),Beastie Boys,Hyghgynx
Trap Queen (Explicit),Fetty Wap,Dr Fiddleballs
Beef (feat. Mobb Deep) (Explicit),"The Notorious B.I.G., Mobb Deep",flaco_kream
Use Me,Bill Withers,Cynsaytional
Mo'murda (Explicit),Bone Thugs-N-Harmony,Xenocite
Feel Good INC (DJ Hood Remix),DJ Hood,Adamino
My Biggest Hater,Trinidad James,SweetAsh
Do U? (Explicit),Do or Die,YaLadyK
Goooo,"TNGHT, Hudson Mohawke, Lunice",Cali_Sober
If I Ever Fall In Love,Shai,Jessica Benefield
Satisfaction (RL Grime Remix),"Benny Benassi, The Biz",Cali_Sober
Outside (feat. Natalie Nunn) (Remix) (Explicit),BeatKing,Adamino
Pony,Far,Dr Fiddleballs
My Main Goal (Explicit),"Riff Raff, DJ Paul",flaco_kream
In Ha Mood (Explicit),Ice Spice,Jordan Hurst
Victory Lap Five (Explicit),"Fred again.., Skepta, PlaqueBoyMax, Denzel Curry, HanuMankind, That Mexican OT, D Double E, LYNY",SweetAsh
That A$$,Bro Safari,Cali_Sober
Never Understand (Explicit),Wobase,CreepyUnknown
COYOTE,"CloZee, Lsdream",Murder_Mittens
Buckle Up Freestyle (Explicit),Russ,flaco_kream
Fire (Extended Version) (Explicit),"UZ, SoloSam",Adamino
Still I Rise (Explicit),Nicki Minaj,YaLadyK
Sublime,Super Future,Adamino
99 Attributes (Explicit),"Rome Streetz, Conductor Williams",flaco_kream
Hip-Hop (Explicit),Dead Prez,CreepyUnknown
Flashlight (ft. Project Pat & Juicy J) (Explicit),"Diplo, Project Pat, Juicy J",CMac
Chain Hang Low,Jibbs,Slattery
The Rain (Supa Dupa Fly) (Explicit),Missy Elliott,SweetAsh
Close To You,Maxi Priest,paiger
DOOMSDAY HOLIDAY,NOT A TOY,SweetAsh
What's Golden,Jurassic 5,SweetAsh
If I Ruled the World (Imagine That) (feat. Lauryn Hill) (Explicit),"Nas, Ms. Lauryn Hill",Bier
Lay Low (Explicit),"Snoop Dogg, Master P, Nate Dogg, Butch Cassidy, Tha Eastsidaz",Xenocite
Excursions,A Tribe Called Quest,CMac
Hood Go Crazy (Explicit),"Tech N9ne, 2 Chainz, B.o.B",SweetAsh
Final Form (Explicit),Sampa the Great,Jordan Hurst
My Shit Bang (Explicit),E-40,Xenocite
Feelin' Myself (Explicit),Mac Dre,Xenocite
Too Close (Explicit),Next,Eternity2Eternity
You Wish,Nightmares on Wax,Ann Redg8
"My Butt Has a Fever (From ""The Bob's Burgers Movie"")","Bob's Burgers, Dan Mintz, Kristen Schaal, Eugene Mirman",Jordan Hurst
Fuck the Police (Explicit),J Dilla,CMac
Ghetto Red Hot (Hip Hop Remix),Super Cat,Marcus McBride
Pop Goes The Weasel (Explicit),3rd Bass,Bier
Free Your Mind,En Vogue,YaLadyK
Ric Flair Drip (Explicit),"Offset, Metro Boomin",Xenocite
Taste of You,"Rezz, Dove Cameron",johnnyrandomwalker
Life & Death,"Rezz, Deathpact",johnnyrandomwalker
No Broke Boys (Explicit),"Disco Lines, Tinashe",johnnyrandomwalker
P.Y.T. (Pretty Young Thing),Michael Jackson,Eternity2Eternity
NO CAP,"Disclosure, Anderson .Paak",Cynsaytional
Breathe,The Prodigy,Slattery
Money (Explicit),Cardi B,Jordan Hurst
Heads Will Roll (A-Trak Remix),Yeah Yeah Yeahs,Cali_Sober
Gotta Get Thru This (D'N'D Radio Edit),Daniel Bedingfield,Cali_Sober
Poetic Justice (Explicit),"Kendrick Lamar, Drake",Jessica Benefield
Put On (Explicit),"Jeezy, Kanye West",Xenocite
Da Blow (Explicit),"Lil Jon, The East Side Boyz, Gangsta Boo",maltliquorkicker
All For You,Sister Hazel,Ktz
Bootstrap Paradox (Explicit),B.o.B,Ktz
Mother Africa,TroyBoi,paiger
Raw,MPH,Marcus McBride
yezzir (Explicit),bbno$,Slattery
Sugar On My Tongue (Explicit),"Tyler, The Creator",SweetAsh
Que Calor (feat. J Balvin & El Alfa),"Major Lazer, J Balvin, El Alfa",johnnyrandomwalker
I'm Satisfied,James Brown,Cynsaytional
Teachers,Daft Punk,raclij
Comfortable (feat. X Ambassadors),"The Knocks, X Ambassadors",Dr Fiddleballs
ROCKIN (Explicit),"Shoreline Mafia, Ohgeesy, Fenix Flexin",Marcus McBride
"God on the Dance Floor (feat. Alejo, Bass Coma) (Yheti Remix)","Spankalicious, Alejo, Bass Coma, Yheti",CMac
Why We Thugs (Explicit),Ice Cube,Jessica Benefield
I Left My Wallet in El Segundo,A Tribe Called Quest,CMac
Paid In Full (Seven Minutes Of Madness - The Coldcut Remix),Eric B. & Rakim,hobbes972
Alright (feat. Super Cat),"Kris Kross, Super Cat",Dr Fiddleballs
Best In Show (Explicit),Bumpin Uglies,YaLadyK
Love Ride,Jordan Lee,Ktz
Doomsday (Explicit),MF DOOM,Jessica Benefield
Got Damn (Explicit),Ground Up,paiger
One Big Room (Explicit),Lil Wayne,CMac
Front Back (Explicit),T.I.,Ann Redg8
Can't Tell Me Nothing (Explicit),Kanye West,Jordan Hurst
Everything I Am (Explicit),"Kanye West, DJ Premier",Jessica Benefield
On & On (Explicit),Erykah Badu,Jessica Benefield
Devil In A New Dress (Explicit),"Kanye West, Rick Ross",Jessica Benefield
ALL OR NOTHING (Explicit),"The Cool Kids, Larry June",Dr Fiddleballs
Smile (Explicit),"Scarface, 2Pac, Johnny P",Jessica Benefield
1977,Ana Tijoux,CMac
Badman Generation (Explicit),"Slick Rick, Idris Elba",Hyghgynx
