title,artist,added
Act A Fool (Explicit),Ludacris,JFLBridge
YES! (Explicit),Killer Mike,Dr Fiddleballs
Paper Planes,M.I.A.,gregadams55
Good Flirts (feat. Kendrick Lamar & Momo Boyd) (Explicit),"Baby Keem, Kendrick Lamar, Momo Boyd",paiger
Only Time Plain Jane (Explicit),Punk Tonite,jordanhurstspotify
F**k Shit Stack (Explicit),Reggie Watts,Eternity2Eternity
Drive Slow (Explicit),"Kanye West, Paul Wall, GLC",gregadams55
MR. UNTOUCHABLE (Explicit),niceymost,C-Bone
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage) (Explicit)",Craig Mack,Ann Redg8
Rigamortus (Explicit),Kendrick Lamar,C-Bone
Hit Or Miss,Odetta,CMac
Hypno (Explicit),"T.I., Rahky",CMac
Pour The Henny (Explicit),"Mobb Deep, Nas",flaco_kream
Wu-Tang Clan Ain't Nothing Ta F**K Wit (Explicit),"Tom Morello, Chad Smith, Wu-Tang Clan",Ann Redg8
Highway 95 pt.2 (Explicit),Baby Keem,slimjim80889
Nirvana (God in Designer) (Explicit),The Kids,Ktz
Two Six (Explicit),J. Cole,Slattery
Six Degrees (Explicit),"Badbadnotgood, Ghostface Killah, Danny Brown",flaco_kream
Mikey Rocks (Explicit),The Cool Kids,Cynsaytional
Bazooka (Explicit),Miami XO,slimjim80889
All My,DJ Shadow,jordanhurstspotify
Feel Good,Chip tha Ripper,YaLadyK
Chitty Bang (Explicit),Leikeli47,Dr Fiddleballs
STOLE YA FLOW (Explicit),A$AP Rocky,Slattery
Strangers,Portishead,johnnyrandomwalker
Just a Friend,Biz Markie,gregadams55
Drivin' My Life Away (Single),Eddie Rabbitt,CMac
Six Days (Remix),"DJ Shadow, Mos Def",C-Bone
"Yeah, Yeah, Yeah (Explicit)",Uncle Kracker,johnnyrandomwalker
Dinninit (Explicit),De La Soul,C-Bone
Navajo,Masego,Ann Redg8
Crack Rock (Album Version) (Explicit),Frank Ocean,C-Bone
Lucas with the Lid Off,Lucas,Marcus McBride
The Denial Twist,The White Stripes,paiger
"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon) (Explicit)","Wu-Tang Clan, Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah, Raekwon",JFLBridge
Paul Revere,Beastie Boys,Dayton
Let's Go Get Stoned,Ray Charles,jordanhurstspotify
Jazzy Belle (Explicit),Outkast,C-Bone
I am not a Lyricist (Explicit),Baby Keem,slimjim80889
"girl, get up. (Explicit)","Doechii, SZA",YaLadyK
Broken Bat,"Sam Lachow, MistaDC, Vrillah",Eternity2Eternity
Marked,Trinix Remix,CMac
More Soup (Explicit),"Moka Only, MF DOOM",Ann Redg8
Madman (Explicit),"Nas, DJ Premier",Cynsaytional
Simon Says,Pharoahe Monch,Slattery
Bonita Bonita (1950's Soul Jazz),Poeta Callejero,Ktz
Ghostwriter,RJD2,Ann Redg8
Guess Who's Back,Rakim,NES Jumpman
