title,artist,added
The Truth About It,"Flamingosis, Late Night Radio",johnnyrandomwalker
Time's Up (Album Version (Explicit)) (Explicit),"Jadakiss, Nate Dogg",Cali_Sober
Blind,Korn,coffeecurls84
My Name (feat. Eminem & Nate Dogg) (Explicit Version),"Xzibit, Eminem, Nate Dogg",johnnyrandomwalker
Ring The Alarm (Album Version),Beyoncé,Kimmyk
Summertime Voodoo (Explicit),Highly Suspect,raclij
Whoa! (Explicit),Black Rob,johnnyrandomwalker
MIA (Explicit),ssgkobe,Benji Joseph
Original Nuttah 25,"Uk Apache, Shy FX",Eternity2Eternity
I Know What You Want (feat. Flipmode Squad) (Explicit),"Busta Rhymes, Mariah Carey, Flipmode Squad",Kimmyk
Supersonic (My Existence),"Skrillex, Noisia, josh pan, Dylan Brady",Step
places to be (Explicit),"Anderson .Paak, Fred again.., CHIKA",Eternity2Eternity
leavemealone (Nia Archives Remix) (Explicit),"Fred again.., Baby Keem",Benji Joseph
Go Back,"John Summit, Sub Focus, Julia Church",Benji Joseph
The Clincher,Chevelle,Marcus McBride
Let 'Em In (2014 Remaster),"Paul McCartney, Wings",raclij
Imaginary Players (Explicit),JAY-Z,AnnieKate
Foolish (Explicit),Ashanti,coffeecurls84
Down with the Sickness (Explicit),Disturbed,Slattery
BO$$ CHICK (Explicit),Saweetie,coffeecurls84
DEVIL IS A LIE (Explicit),Tommy Richman,Dr Fiddleballs
Hang Me Up To Dry,Cold War Kids,raclij
Virtual Insanity (Remastered 2013),Jamiroquai,maltliquorkicker
Worst Comes To Worst,Dilated Peoples,raclij
WHITE CROCS (Explicit),"Jordan Ward, Ryan Trey",slimjim80889
Mary Jane,Rick James,raclij
Pimp Hand (Explicit),Vince Staples,Slattery
Floating to Nowhere (Explicit),Lando Chill,Dr Fiddleballs
Caroline,Pause,Dr Fiddleballs
Food Stamps (Explicit),Pardison Fontaine,Ktz
I Like Dat (Explicit),"T-Pain, Kehlani",Ktz
Who Got Gunz (Explicit),"Gang Starr, M.O.P.",Cali_Sober
Good Times Bad Times (Remaster),Led Zeppelin,raclij
Boom Bye Yeah (Explicit),Sean Price,flaco_kream
Purple Hat,Sofi Tukker,Paul A.
Problems (Album Version (Explicit)) (Explicit),AZ,Cali_Sober
Lausd,Jurassic 5,johnnyrandomwalker
"Kick, Push",Lupe Fiasco,Kimmyk
Express Yourself (Explicit),N.W.A,Ann Redg8
I Get Around (Remix) (Explicit),"2Pac, Digital Underground",geogkid21
24,Jem,johnnyrandomwalker
The American Way,The Crystal Method,johnnyrandomwalker
Damien (Explicit),DMX,Cali_Sober
FDT (Explicit),"YG, Nipsey Hussle",Jordan Hurst
Kiss of Life,Sade,Benji Joseph
AIGHT (Explicit),"WESTSIDE BOOGIE, DRAM",slimjim80889
You Can't Stop The Prophet (Explicit),Jeru The Damaja,Marcus McBride
IMPALAS & HYDRAULICS (Explicit),"Reason, The Game",slimjim80889
Come Out and Play,The Offspring,coffeecurls84
Thinking with My Dick (feat. Juicy J) (Explicit),"Kevin Gates, Juicy J",Sheynanigans
"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",Weird Al Yankovic,Ktz
Like That (Explicit),"Future, Metro Boomin, Kendrick Lamar",foxjlady2.0
Feel Like That,"Sublime, Stick Figure, Bradley Nowell",Ann Redg8
The Mystical Warlock,Ramirez,Benji Joseph
Life Goes On,Oliver Tree,Paul A.
FROSTY,Kunzite,Paul A.
They Just Dont Know,Gyft,Sheynanigans
Today's Your Day (Wachagonedu?),Fatlip,Ann Redg8
Long Black Road,Electric Light Orchestra,Dr Fiddleballs
Get Off The Internet,"Eliminate, Fussy",johnnyrandomwalker
G $hit (Explicit),Craze,Eternity2Eternity
Know Your Enemy (Explicit),Rage Against The Machine,maltliquorkicker
What's New Scooby-Doo?,Simple Plan,Scooby212
Pepper,Butthole Surfers,Marcus McBride
Today's Your Day (Wachagonedu?),Fatlip,Ann Redg8
Shame (Explicit),"2 Chainz, Lil Wayne",AnnieKate
I Am Your Leader (Explicit),"Nicki Minaj, Cam'ron, Rick Ross",AnnieKate
Welcome to The Internet (Explicit),Bo Burnham,Slattery
Juice Bars (Explicit),Cozz,Step
Wildfire,"SBTRKT, Little Dragon",Dr Fiddleballs
Tennessee (Whiskey Revival) (Explicit),"STS, RJD2",johnnyrandomwalker
Po Pimp (Explicit),Do Or Die,Kimmyk
Smack My Bitch Up (Major Lazer Remix),The Prodigy,geogkid21
Three Little Pigs,Green Jelly,Marcus McBride
Hello (Explicit),Killer Mike,Ann Redg8
My Favourite Game,The Cardigans,coffeecurls84
Sweet Leaf (2014 Remaster),Black Sabbath,raclij
BOA (Explicit),Megan Thee Stallion,Slattery
Do Ya Bad (Explicit),Yung Joc,Step
