title,artist,added
KONNiCHiWA (Explicit),"Riff Raff, E-40",flaco_kream
Make My,"The Roots, Big K.R.I.T., Dice Raw",AnnieKate
Gold (feat. Lil Wayne) [Remix],"Kiiara, Lil Wayne",Ann Redg8
Jiggle It,"Marshmello, TroyBoi",CMac
Design in Malice,"Young Zee, Pacewon",johnnyrandomwalker
The Hulk (Explicit),"Murs, 9th Wonder, The Soul Council",KatalystJess
King for a Day,Jamiroquai,MrPOfficial
Raving In The Studio (Explicit),"Aitch, Bou",Benji Joseph
Everybody Loves The Sunshine,"Netsky, Babl Lemmens, Daddy Waku, Chantal Kashala",Dr Fiddleballs
Attention (Explicit),Doja Cat,JFLBridge
Body Pillow (Explicit),Atmosphere,AnnieKate
Fire Squad (Explicit),J. Cole,Slattery
Pipeline (feat. BigXthaPlug) (Explicit),"Montana 700, BigXthaPlug",Benji Joseph
Still Fly (Explicit),Big Tymers,Ann Redg8
Putting Shame In Your Game (Remastered 2009) (Explicit),Beastie Boys,Gigi
With My Heart (feat. Ámina),01sail,Ktz
Questions Freestyle,Nipsey Hussle,Wilks
It's Funky Enough (Remastered Single),The D.O.C.,johnnyrandomwalker
Ya Mama (Explicit),The Pharcyde,AnnieKate
Yessirr (Explicit),TORY LANEZ,slimjim80889
My Way,Usher,SweetAsh
Ruff Ryders' Anthem (Explicit),DMX,JFLBridge
Issues (Explicit),"Dr. Dre, Ice Cube, Anderson .Paak, Dem Jointz",Cynsaytional
"Protectors of 1472 (feat. Snoop Dogg, R.O.C. & Warren G)",Jermaine Dupri,Step
Triple Six Club House (Explicit),Prophet Posse,flaco_kream
Gimme Gimme,Mungo's Hi Fi,johnnyrandomwalker
XEROX,"The Funk Hunters, LŪN",Ann Redg8
"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon) (Explicit)","Wu-Tang Clan, Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah, Raekwon",Cali_Sober
Get Money (feat. Junior M.A.F.I.A.) [2007 Remaster] (Explicit),"The Notorious B.I.G., JUNIOR M.A.F.I.A.",AnnieKate
Self Destrukt (Explicit),Chill Bump,Jordan Hurst
Cry (Explicit),Cozz,CMac
I Want'a Do Something Freaky To You,Leon Haywood,Jordan Hurst
Brooklyn Zoo (Explicit),Ol' Dirty Bastard,JFLBridge
Genius (Explicit),Krizz Kaliko,Dr Fiddleballs
Borrowed Time (Explicit),Madvillain,Hyghgynx
"The Matrix (feat. Pharoahe Monch, Sean Price & DJ Premier)",Black Milk,flaco_kream
The Jam (Explicit),A Tribe Called Quest,CMac
It's Not Unusual,Tom Jones,Step
In 2 Deep (Explicit),Chikoruss,slimjim80889
Kiss Is Spittin' (Album Version (Explicit)) (Explicit),"Jadakiss, Nate Dogg, Mashonda",J
I Keep Forgettin' (Every Time You're Near),Michael McDonald,SweetAsh
Righteous Minds (Explicit),Joey Bada$$,johnnyrandomwalker
Rapp Snitch Knishes feat. Mr. Fantastik (Explicit),MF DOOM,Slattery
"Impossible (feat. RZA, U-God, Ghostface Killah & Tekitha) (Explicit)","Wu-Tang Clan, Tekitha",Cali_Sober
Juicy Fruit,Mtume,CMac
Fallin,Inayah,Ktz
Ms. New Booty (Explicit),"Bubba Sparxxx, Ying Yang Twins, Mr. Collipark",KatalystJess
Benzi Box,"Dangerdoom, MF DOOM, Danger Mouse",Slattery
Have A Party (Explicit),"Mobb Deep, 50 Cent, Nate Dogg",Cynsaytional
Your Fuckin’ Head Split (Explicit),Necro,Wilks
Slam (Explicit),Onyx,JFLBridge
What's Love Got to Do with It,Tina Turner,Jordan Hurst
I Wish,Skee-Lo,paiger
Fuck Tha Police (Explicit),N.W.A,johnnyrandomwalker
Going Back to Cali (2014 Remaster) (Explicit),The Notorious B.I.G.,Slattery
Trouble On Central (Explicit),Buddy,Dr Fiddleballs
Boom! Shake the Room,"DJ Jazzy Jeff, The Fresh Prince",paiger
Ill Na Na (Explicit),"Foxy Brown, Method Man",paiger
Kno The Meaning (Explicit),Future,CMac
Wow. (Explicit),Post Malone,SweetAsh
Superstition,Stevie Wonder,JFLBridge
Wonderwall,TEEMID,Eternity2Eternity
Hot Dog (Explicit),Limp Bizkit,KatalystJess
ABC,Living Jazz,Jordan Hurst
