title,artist,added
Sexy M.F. (Explicit),"Prince, The New Power Generation",Cali_Sober
Fade (Explicit),Kanye West,Chow
Do This,Holy Ghost!,johnnyrandomwalker
Big Energy (feat. DJ Khaled) (Remix) (Explicit),"Latto, Mariah Carey, DJ Khaled",Dr Fiddleballs
The One,"Mary J. Blige, Drake",Chow
The Humpty Dance,Digital Underground,BIER
Rump Shaker,Wreckx-N-Effect,BIER
Oh Shit (Featurecast Remix),"The Funk Hunters, Chali 2na",Ann Redg8
El Chupa Nibre,"Dangerdoom, MF DOOM, Danger Mouse",Dr Fiddleballs
Sucker M.C.'s (Krush-Groove 1),RUN-DMC,Slattery
Starry Eyed Surprise,"Paul Oakenfold, Shifty Shellshock, Crazy Town",Eternity2Eternity
The Hitman (Explicit),Grandmaster Caz,Jordan Hurst
Float On,Modest Mouse,Slattery
Coño (Explicit),"PURI, Jhorrmountain, Adje",Carl Boudreau
Gasoline,"Nic D, Connor Price",James McNaul
Où est billie ? (Remasterisé),"Oxmo Puccino, The Jazzbastards",James McNaul
We Do This,"Dynamite MC, Krafty Kuts",Ann Redg8
Let's Ride (Explicit),Choclair,J444
Don't Say Nuthin' (Album Version (Explicit)) (Explicit),The Roots,Ann Redg8
Chief Rocka (Explicit),Lords Of The Underground,Ann Redg8
LUXURY LIFE (feat. Coi Leray) (Explicit),"Busta Rhymes, Coi Leray",Dr Fiddleballs
Down (feat. Latto) (Explicit),"G-Eazy, Latto",Diana Poulos
Sound The Horns (Explicit),Wu-Tang Clan,Ann Redg8
Tomorrow (Explicit),"LNDN DRGS, Jay Worthy, Freddie Gibbs",Dr Fiddleballs
What Would You Do? (Explicit),City High,Eternity2Eternity
Everything Is Everything (Album Version) (Album Version),Ms. Lauryn Hill,Chow
Only U (No Intro),Ashanti,Adamino
Aftergold,Big Wild,Jordan Hurst
Lawn Wake IX,The Flashbulb,CreepyUnknown
At the Helm (Explicit),Hieroglyphics,johnnyrandomwalker
Born To Roll (Jeep Ass Niguh Remix) (Explicit),Masta Ace Incorporated,Dr Fiddleballs
Shoot 'em Up (Explicit),Nas,Ann Redg8
Palm Trees (Explicit),Flatbush Zombies,Josh Rueschenberg
ORANGE SODA,Redhands,CreepyUnknown
Piss Test (Explicit),"A-Trak, Juicy J, Danny Brown",Adamino
D.M.B. (Explicit),A$AP Rocky,AnnieKate
WATERBOYZ (Explicit),"EARTHGANG, JID, J. Cole",AnnieKate
The Buzz (Bonus Track) (Explicit),"Hermitude, Big K.R.I.T., Mataya, Young Tapz",Cali_Sober
Shanty Town,Mr Scruff,ontravelling
What's Your Fantasy (Explicit),"Ludacris, Shawnna",Diana Poulos
Rumble,"Skrillex, Fred again.., Flowdan",JFLBridge
Firestarter,The Prodigy,JFLBridge
Still Tippin' (feat. Slim Thug & Paul Wall) (Explicit),"Mike Jones, Slim Thug, Paul Wall",Slattery
HONORRoLL (Explicit),Spark Master Tape,Ann Redg8
cut my fingers off,Ethan Bortnick,Slattery
Legend,Upchurch,JWM
Alive,Pearl Jam,Chow
Iris,The Goo Goo Dolls,Adamino
My Smokin' Song (Explicit),Lil Wyte,JWM
Paper Chase (Explicit),Do Or Die,ontravelling
Feel Good,Chip tha Ripper,Jordan Hurst
One Time,Marian Hill,Cmac
Put It In Your Mouth (Explicit),Akinyele featuring Kia Jeffries,coffeecurls84
Blood Bath (Explicit),The Dayton Family,ontravelling
Dez Only 1,"Witchdoctor, André 3000, Big Boi",ontravelling
Black Milk,Massive Attack,CreepyUnknown
SimpsonWave1995,FrankJavCee,Slattery
The Drop,Bro Safari,Cali_Sober
Addict Love (Explicit),Trapperman Dale,JWM
Stressed Out,twenty one pilots,Cali_Sober
Club Soda  (feat. Action Bronson),"Flatbush Zombies, Action Bronson",Josh Rueschenberg
La Cobra (Explicit),That Mexican OT,ontravelling
Bricks & Bags (Explicit),"French Montana, Harry Fraud, Jadakiss, Benny The Butcher",johnnyrandomwalker
HIT EM WHERE IT HURTS,PawPaw Rod,Jordan Hurst
Can't Deny It (feat. Nate Dogg) (Explicit),"Fabolous, Nate Dogg",Ann Redg8
Flipping Cars (Explicit),"Shredders, Sims, P.O.S.",johnnyrandomwalker
Casita,The Astronomers,James McNaul
Uppercuts,Terror Reid,Slattery
Legion Groove,The Legion,ontravelling
I Love Your Smile,Shanice,Eternity2Eternity
Push It Along,A Tribe Called Quest,johnnyrandomwalker
Work It (Explicit),Missy Elliott,BIER
Dance with Me,112,coffeecurls84
Buy You A Round (Up And Down) (Main),Verse Simmonds,Chow
J.O.D.D. (Explicit),"Trick Daddy, Khia, Tampa Tony",Adamino
You Need Jesus (Explicit),"Yung Gravy, bbno$, BABY GRAVY",Adamino
2+2=5 (Explicit),"Hi-Rez, Only For The Fans",BURNDOWN4WAT
Elastic (Explicit),Joey Purp,Carl Boudreau
Say So -Japanese Version- (tofubeats Remix),"Rainych, tofubeats",BURNDOWN4WAT
Without Me (Explicit),Eminem,BIER
Beat Your Ass To Death,Dan Spencer,JWM
No Commas (Explicit),"Lunice, Cali Cartier",Adamino
Dientes (Explicit),"J Balvin, USHER, DJ Khaled",Dr Fiddleballs
Lowdown (Single Version),Boz Scaggs,Cynsaytional
Gangsta Walk (Explicit),"SNBRN, Nate Dogg",Eternity2Eternity
Rodeo (Remix) (Explicit),"Lah Pat, Flo Milli",AnnieKate
Come Around,"M.I.A., Timbaland",coffeecurls84
Pop The Trunk (Explicit),Yelawolf,Slattery
Bongos (feat. Megan Thee Stallion) (Explicit),"Cardi B, Megan Thee Stallion",Dr Fiddleballs
"Harder, Better, Faster, Stronger",Daft Punk,JFLBridge
Eat Your Man (with Nelly Furtado),"Dom Dolla, Nelly Furtado",Cali_Sober
Se Acabo (feat. Method Man) (4B Remix) (Explicit),"The Beatnuts, Method Man",Ann Redg8
Chunky,Format:B,Eternity2Eternity
Finally (Original Extended Mix),Kings of Tomorrow,Chow
Pusherman,Curtis Mayfield,Cynsaytional
Travelling Without Moving (Remastered),Jamiroquai,Cynsaytional
New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix] (Explicit),"Gorillaz, Tame Impala, Bootie Brown",Dr Fiddleballs
A N X I E T Y (feat. Doechii) (Explicit),"Sleepy Hallow, Doechii",Dr Fiddleballs
REEL IT IN (Explicit),Aminé,Chow
SUICIDE YEAR (Explicit),"WEEDMANE, Suicideyear",CreepyUnknown
At Night (Kid Crème Club Mix),Shakedown,Chow
The Renegade,Friend Within,Eternity2Eternity
Do Wah Diddy (Explicit),2 LIVE CREW,Ann Redg8
Fuck Em Up Sis (Explicit),Renni Rucci,Slattery
Fake ID (Coke & Rum Remix) (Explicit),"Riton, Kah-Lo, Gee Lee",Eternity2Eternity
Daft Punk Is Playing at My House,LCD Soundsystem,JFLBridge
Big Pimpin' (Explicit),"JAY-Z, UGK (Underground Kingz)",Slattery
Techno Syndrome (Mortal Kombat),The Immortals,JFLBridge
Margaritaville,Jimmy Buffett,Slattery
Celebrate (Explicit),Anderson .Paak,Jordan Hurst
